guard60.py -- every artifact task 60 writes, unmodified guard, ONE process.  Nothing was added to any field set, and no artifact was declared out of the walk.
$ python3 check_no_spelling_keys.py <335 paths, one process>

operator inventory: 91 tokens read from probe_manifest_*.json
PASS canon39_wrapped_c.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0092.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0093.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0094.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0095.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0096.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0097.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0098.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0099.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0100.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0101.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0102.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0103.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0104.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0105.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0106.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0107.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0108.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0109.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0110.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0111.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0112.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0113.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0114.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0115.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0116.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0117.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0118.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0119.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0120.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0121.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0122.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0123.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0124.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0125.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0126.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0127.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0128.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_c_c0129.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0000.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0001.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0002.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0003.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0004.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0005.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0006.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0007.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0008.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0009.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0010.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0011.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0012.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0013.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0014.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0015.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0016.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0017.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0018.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0019.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0020.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0021.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0022.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0023.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0024.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0025.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0026.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0027.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0028.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0029.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0030.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0031.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0032.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0033.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0034.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0035.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0036.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0037.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0038.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0039.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0040.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0041.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0042.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0043.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0044.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0045.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0046.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0047.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0048.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0049.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0050.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0051.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0052.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0053.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0054.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0055.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0056.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0057.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0058.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0059.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0060.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0061.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0062.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0063.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0064.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0065.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0066.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0067.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0068.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0069.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0070.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0071.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0072.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0073.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0074.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0075.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0076.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0077.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0078.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0079.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0080.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0081.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0082.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0083.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0084.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0085.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0086.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0087.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0088.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0089.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0090.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0091.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0092.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0093.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0094.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0095.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0096.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0097.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0098.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0099.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0100.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0101.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0102.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0103.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0104.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0105.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0106.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0107.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0108.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0109.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0110.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0111.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0112.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0113.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0114.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0115.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0116.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0117.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0118.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0119.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0120.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0121.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0122.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0123.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0124.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0125.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0126.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0127.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0128.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0129.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0130.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0131.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0132.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0133.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0134.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0135.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0136.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0137.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0138.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0139.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0140.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0141.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0142.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0143.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0144.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0145.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0146.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0147.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0148.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0149.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0150.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0151.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0152.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0153.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0154.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0155.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0156.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0157.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0158.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0159.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0160.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0161.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0162.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0163.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0164.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0165.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0166.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0167.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0168.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0169.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0170.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0171.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0172.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0173.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0174.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0175.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0176.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_cpp_c0177.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_go_c0000.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_go_c0001.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_rust_c0000.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_rust_c0001.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_rust_c0002.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_rust_c0003.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_rust_c0004.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0000.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0001.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0002.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0003.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0004.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0005.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0006.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0007.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0008.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0009.json -- no operator token in any key, grouping, pairing or row structure
PASS op_units2_swift_c0010.json -- no operator token in any key, grouping, pairing or row structure

GUARD EXIT CODE = 0
